"term","name","pathway_theme","pathway_scope"
"ko04977","Vitamin digestion and absorption","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04927","Cortisol synthesis and secretion","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05340","Primary immunodeficiency","Other KEGG pathway","Core metabolism or cross-domain"
"ko00061","Fatty acid biosynthesis","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko00780","Biotin metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko05213","Endometrial cancer","Reference disease pathway","Reference disease pathway"
"ko05219","Bladder cancer","Reference disease pathway","Reference disease pathway"
"ko05220","Chronic myeloid leukemia","Reference disease pathway","Reference disease pathway"
"ko04011","MAPK signaling pathway - yeast","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko05143","African trypanosomiasis","Other KEGG pathway","Core metabolism or cross-domain"
"ko04917","Prolactin signaling pathway","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko00625","Chloroalkane and chloroalkene degradation","Other KEGG pathway","Core metabolism or cross-domain"
"ko00626","Naphthalene degradation","Other KEGG pathway","Core metabolism or cross-domain"
"ko04658","Th1 and Th2 cell differentiation","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04660","T cell receptor signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko05140","Leishmaniasis","Other KEGG pathway","Core metabolism or cross-domain"
"ko05321","Inflammatory bowel disease","Other KEGG pathway","Core metabolism or cross-domain"
"ko04913","Ovarian steroidogenesis","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko00430","Taurine and hypotaurine metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko00460","Cyanoamino acid metabolism","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00072","ko00072","Other KEGG pathway","Core metabolism or cross-domain"
"ko00362","Benzoate degradation","Other KEGG pathway","Core metabolism or cross-domain"
"ko00720","Other carbon fixation pathways","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00281","ko00281","Other KEGG pathway","Core metabolism or cross-domain"
"ko00601","Glycosphingolipid biosynthesis - lacto and neolacto series","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko00603","Glycosphingolipid biosynthesis - globo and isoglobo series","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko04060","Cytokine-cytokine receptor interaction","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko02024","Quorum sensing","Transport and environmental response","Microbial/prokaryote-associated label"
"ko00120","Primary bile acid biosynthesis","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain"
"ko04630","JAK-STAT signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko02025","Biofilm formation - Pseudomonas aeruginosa","Transport and environmental response","Core metabolism or cross-domain"
"ko00062","Fatty acid elongation","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko00643","Styrene degradation","Other KEGG pathway","Core metabolism or cross-domain"
"ko00401","Novobiocin biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00950","Isoquinoline alkaloid biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00960","Tropane, piperidine and pyridine alkaloid biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00627","Aminobenzoate degradation","Other KEGG pathway","Core metabolism or cross-domain"
"ko01210","2-Oxocarboxylic acid metabolism","Other KEGG pathway","Broad KEGG reference map"
"ko04742","Taste transduction","Other KEGG pathway","Core metabolism or cross-domain"
"ko00232","Caffeine metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko00100","Steroid biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00512","Mucin type O-glycan biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko05033","Nicotine addiction","Reference disease pathway","Reference disease pathway"
"ko04610","Complement and coagulation cascades","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko00903","Limonene degradation","Other KEGG pathway","Core metabolism or cross-domain"
"ko00604","Glycosphingolipid biosynthesis - ganglio series","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko04640","Hematopoietic cell lineage","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko00908","Zeatin biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko04112","Cell cycle - Caulobacter","Cellular process","Eukaryote/metazoan-compatible"
"ko00333","Prodigiosin biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko03070","Bacterial secretion system","Storage, lipid transport, and endocrine nutrition","Microbial/prokaryote-associated label"
"ko00901","Indole alkaloid biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00965","Betalain biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00940","Phenylpropanoid biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko02026","Biofilm formation - Escherichia coli","Transport and environmental response","Core metabolism or cross-domain"
"ko00290","Valine, leucine and isoleucine biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00311","Penicillin and cephalosporin biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00472","ko00472","Other KEGG pathway","Core metabolism or cross-domain"
"ko00261","Monobactam biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00254","Aflatoxin biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00533","Glycosaminoglycan biosynthesis - keratan sulfate","Other KEGG pathway","Core metabolism or cross-domain"
"ko01051","Biosynthesis of ansamycins","Other KEGG pathway","Core metabolism or cross-domain"
